month,value
2011-01,372
2011-02,327
2011-03,320
2011-04,327
2011-05,371
2011-06,398
2011-07,383
2011-08,510
2011-09,519
2011-10,596
2011-11,583
2011-12,621
2012-01,727
2012-02,551
2012-03,574
2012-04,606
2012-05,590
2012-06,695
2012-07,952
2012-08,1004
2012-09,985
2012-10,1079
2012-11,1741
2012-12,3100
2013-01,3645
2013-02,2605
2013-03,2514
2013-04,2395
2013-05,2441
2013-06,2409
2013-07,2599
2013-08,2608
2013-09,2240
2013-10,2355
2013-11,2253
2013-12,2663
2014-01,2823
2014-02,2353
2014-03,2554
2014-04,2373
2014-05,2568
2014-06,2865
2014-07,4858
2014-08,4806
2014-09,4540
2014-10,4478
2014-11,4253
2014-12,5449
2015-01,5741
2015-02,5186
2015-03,5738
2015-04,4924
2015-05,5104
2015-06,5188
2015-07,5737
2015-08,6469
2015-09,5760
2015-10,6021
2015-11,6160
2015-12,6030
2016-01,7248
2016-02,6484
2016-03,7504
2016-04,6452
2016-05,7368
2016-06,8019
2016-07,8686
2016-08,9194
2016-09,8674
2016-10,8138
2016-11,8292
2016-12,11268
2017-01,12128
2017-02,9813
2017-03,11991
2017-04,11160
2017-05,12254
2017-06,7129
2017-07,964
